jugador(a),Equipo,Minutos disputados,Posiciones,Edad,Recuperaciones p90,Intercepciones p90,Barridas p90,Rechaces p90
K. Fajardo,Guadalupe,714,"lcb3, lcb",36,13.36,6.43,0.38,2.77
J. Leiva,Puntarenas,600,"rcmf, rdmf",33,13.35,4.05,0.75,0.75
G. Montes,Herediano,784,"rcb, rcb3, cb",29,13.2,5.05,0.11,2.98
W. Decas,Puntarenas,1505,"cb, lcb, lcb3",26,12.8,4.78,0,2.03
A. Gamboa,Alajuelense,737,"lcb, lcb3",27,12.46,4.52,0.49,2.93
J. Rubio,Herediano,1619,"lcb, lcb3",29,12.4,4.45,0.67,2.89
A. Soto,Sporting San José,1520,"lcb, lcb3",34,12.38,4.32,0.06,3.14
R. Rodríguez,Pérez Zeledón,930,"rcb, rb",23,12.1,4.84,0.1,2.32
A. Matarrita,Deportivo Saprissa,563,"dmf, lcb3, rb",21,11.83,5.28,0.48,1.92
K. Waston,Deportivo Saprissa,1774,"lcb, rcb",38,11.67,4.57,0.15,3.04
G. Villalobos,Alajuelense,1357,"lcb, rcb, cb",24,11.54,5.31,1.06,2.72
E. Pastrana,Pérez Zeledón,1492,lcb,26,11.46,6.82,0.18,3.5
C. Borges,Alajuelense,915,"rcmf, rdmf",38,11.41,5.8,0.39,1.87
Y. Piedra,San Carlos,936,"lcb3, lcb",32,11.35,5.38,0.1,3.85
F. Coronado,Sporting San José,814,"rcmf, dmf, rdmf",24,11.28,5.42,0.44,1
A. Sinclair,Puntarenas,732,"rcmf, lcmf, rdmf",26,11.07,4.3,0.12,1.97
R. Miranda,Guadalupe,1575,"cb, lcb, rcb",30,10.91,5.89,0.06,4
G. González,Sporting San José,1568,"rcb, cb",38,10.85,4.59,0.17,3.56
K. Brown,Herediano,1232,"rcb, cb, lcb",34,10.74,4.38,0.07,2.19
S. van der Putten,Alajuelense,730,"rcb, cb",21,10.73,5.3,0.12,3.82
J. Agüero,San Carlos,1748,"cb, lcb, rcb",32,10.45,4.58,0.05,2.68
M. Pereira,Cartaginés,1408,"lcb, rcb",31,10.29,4.6,0.06,3.64
L. Ayala,Guadalupe,642,"lcb, lcb3, lcmf",28,9.95,4.21,0.28,2.52
K. Guzmán,Guadalupe,1361,"rcb, rcb3",29,9.92,3.44,0.46,2.91
K. Villalobos Chavarría,Puntarenas,972,"lcb3, lb, lwf",30,9.91,3.8,1.2,1.76
S. Rodríguez,Herediano,1585,"dmf, rcb3, lcmf",30,9.88,3.07,0.34,1.08
D. Mesén,Cartaginés,1324,rcb,27,9.86,4.42,0.07,3.06
C. Pineda,Sporting San José,965,"lcmf, rcmf",28,9.79,3.92,0.19,0.75
K. Gutiérrez,Puntarenas,628,"cb, rcb, rcb3",36,9.75,2.29,0,2.01
J. Azofeifa,Deportivo Saprissa,1306,lb,25,9.65,3.1,0.69,2
P. Fonseca,San Carlos,625,"rcb3, rb",27,9.5,3.17,0.72,3.89
D. López,Cartaginés,1412,"rcmf, lcmf, cf",27,9.5,3.82,1.34,1.34
W. Francis,Municipal Liberia,1026,"lcb3, lb5, lb",35,9.47,3.16,0.26,2.98
G. Taylor,Deportivo Saprissa,1525,"rb, dmf",25,9.38,4.13,0.3,2.07
R. Rivera,San Carlos,1108,"rcb3, rb, rwb",27,9.26,5.2,1.14,2.92
S. Acuña,Deportivo Saprissa,788,"rdmf, dmf, rcmf",23,9.25,3.08,0.34,1.37
J. Guadamúz,Municipal Liberia,1471,"lb5, lb, lw",21,9.12,5.51,0.31,3
F. Khatami,Puntarenas,1385,"lcb3, lcmf, lcb",21,8.9,3.31,0.26,2.4
H. Muñoz,Puntarenas,1490,"rcb3, rcb, rb",31,8.88,3.38,0.36,1.93
C. Reyes,Municipal Liberia,1459,"lcb, lcb3, rcb3",30,8.7,4.38,0.43,3.33
K. Espinoza,Sporting San José,561,"rcb3, rcb",29,8.66,4.65,0.64,3.21
C. Martínez,San Carlos,1415,"lcmf, dmf, cb",32,8.65,3.37,0.7,2.54
R. Bolaños,Sporting San José,996,lb,27,8.49,3.43,1.17,2.8
Y. Molina,Municipal Liberia,1544,"rcb3, rcb",30,8.45,4.6,0.12,3.32
J. Huertas,Municipal Liberia,1117,"cb, rcb, rb",31,8.38,4.43,0,3.22
Y. Hernández,Municipal Liberia,904,"lcmf, lcmf3, rcmf",30,8.36,4.78,0.2,0.9
L. Flores,Cartaginés,1668,"rcmf, lcmf, ldmf",32,8.36,3.08,0.43,1.24
G. Castillo,San Carlos,1368,"lb, lb5, lwb",24,8.36,4.61,0.26,2.04
W. Fernández,Pérez Zeledón,1726,"rcb, lcb",32,8.34,4.48,0.05,3.13
D. Guzmán,Deportivo Saprissa,922,"ldmf, dmf, rcmf",36,8.3,2.73,0.1,1.17
A. Salazar,Alajuelense,1451,"rcb, rcb3, rb",27,8.19,4.16,0.25,1.74
J. Aguirre,Pérez Zeledón,905,"lcmf, rcmf, dmf",35,8.15,3.68,0,1.89
J. Valverde,Sporting San José,762,"rb, rb5, rw",30,8.15,4.02,0.24,1.18
D. Araya,Herediano,1475,"lb, lb5, lw",25,8.12,2.2,0.06,0.61
H. Quirós,Herediano,1236,"rb, rb5",27,8.08,3.79,0.15,0.66
F. Faerrón,Cartaginés,1025,lcb,25,8.08,2.46,0.35,1.93
P. Arboine,Deportivo Saprissa,1628,rcb,28,8.07,3.37,0.22,3.15
A. Bran,Alajuelense,1606,"lcmf, rcmf, ldmf",25,8.01,2.97,0.06,0.67
L. Hernández,Pérez Zeledón,1554,"lb, lb5",28,7.99,5.1,0.29,2.32
M. Angulo,Guadalupe,1535,"lcmf, rcmf, ldmf",39,7.97,3.4,0.06,0.47
A. Murillo,Herediano,793,"rcmf, lcmf, lcmf3",28,7.94,2.95,0.11,1.13
D. González,Cartaginés,833,lb,30,7.78,3.13,0.54,1.94
G. Méndez,Guadalupe,1666,"lb, lb5",34,7.62,3.94,0.54,2
S. Taylor,Deportivo Saprissa,1634,"rb, rb5",22,7.49,5.01,0.17,1.82
R. Matarrita,Alajuelense,1638,"lb, lwb",31,7.47,3.57,0.27,1.43
S. Johnson,Municipal Liberia,1462,"rb5, rb, rw",23,7.39,2.89,0.12,1.6
R. Parkins,Alajuelense,998,"dmf, lcmf, ldmf",25,7.39,4.51,0.18,1.26
J. Mora,Deportivo Saprissa,555,"lb, lwb",33,7.3,3.08,0.81,1.95
E. Drummond Arroyo,Pérez Zeledón,903,"lcmf, dmf, rcmf",20,7.28,3.99,0.3,2.09
S. Zúñiga,Cartaginés,1683,"lb, rw",29,7.27,2.99,0.11,1.5
D. Masis,San Carlos,534,"lb5, lb, lwb",21,7.25,3.03,0.34,1.52
R. Cordoba,San Carlos,1387,"rcmf, lcmf, rcmf3",27,7.2,2.73,0.26,0.84
Al. López,Sporting San José,1262,"rcmf, lcmf, lcmf3",33,7.2,1.85,0,0.43
J. Rivera Stuart,Pérez Zeledón,1115,"rb, rb5",29,7.18,3.96,0.73,2.34
R. Blanco,Deportivo Saprissa,777,rb,37,7.18,3.36,0.23,2.08
B. Alfaro,Cartaginés,589,"lcmf, rcmf, ldmf",29,7.18,2.9,0,0.61
I. Gómez,Puntarenas,1560,"lwb, lb5, lb",27,6.92,3.58,0.69,1.44
M. Ajú,Pérez Zeledón,598,gk,26,6.92,2.11,0.15,0.9
R. Leal,Herediano,728,"lw, rw, amf",29,6.8,2.97,0.12,0.12
B. Bonilla,Guadalupe,741,"rcmf, lb5, rdmf",29,6.68,4.13,0.24,1.34
U. Segura,Puntarenas,1389,"lcmf, rcmf, amf",32,6.48,2.07,0,0.32
Alejandro Porras,Pérez Zeledón,739,"rcmf, lcmf, rdmf",30,6.45,4.51,0.49,1.34
J. Brenes,Deportivo Saprissa,900,"lcmf, ldmf",29,6.3,2.3,0.3,0.5
C. Barahona,Cartaginés,1131,rb,23,6.29,2.71,0.08,2.71
K. Gómez,Puntarenas,1434,"rb5, rwb, rb",26,6.21,2.82,0.25,0.82
Y. Salinas,Sporting San José,891,"rb, rcb3, rb5",27,6.06,3.43,0.2,2.83
E. Aguilar,Herediano,1332,"rcmf, rw, amf",34,6.01,2.23,0.68,0.41
F. Piñar,Alajuelense,1094,rb,24,6.01,3.29,0.58,2.22
L. Paradela,Deportivo Saprissa,1132,"lw, lamf, ramf",29,5.88,3.26,0.24,0.56
D. Ramírez Bolaños,Sporting San José,666,"lw, rw, cf",21,5.81,2.97,0,1.08
A. Soto,San Carlos,1575,"lw, cf, lcmf",23,5.77,2.8,0.57,0.8
G. Torres,Deportivo Saprissa,708,"rw, ramf",28,5.72,2.29,0.13,0.38
G. Castro,Cartaginés,567,"ramf, rw, cf",24,5.71,3.49,0.16,0.16
K. Fuller,Herediano,857,"rb, rw, rb5",31,5.57,2.1,0.32,1.05
J. Venegas,San Carlos,1316,"rw, rwb, rb5",38,5.54,2.94,0.21,0.75
A. Monreal,Municipal Liberia,1701,gk,31,5.45,1.9,0,0.63
Claudio Montero,Cartaginés,567,"rw, cf, ramf",20,5.24,1.11,0.48,0.32
T. Demetrius,Guadalupe,862,"cf, lw, rw",21,5.22,1.67,0.42,0.63
K. Cerdas,San Carlos,908,"cf, rcmf, lw",30,5.15,2.48,0,0.2
L. Díaz,Sporting San José,979,"rw, rcmf3",27,5.15,2.02,0.37,0.46
B. Sequeira,Municipal Liberia,688,"rb, rw",28,5.1,3.27,0,1.31
M. Torres,Deportivo Saprissa,1511,"amf, rcmf",39,5,1.43,0.18,0.24
A. Guevara,San Carlos,688,"lw, lcmf3, lwf",37,4.97,1.83,0,0.26
C. Perez,Alajuelense,1149,"lw, rw, rcmf",21,4.93,2.82,0.47,0.86
Bancy Hernández,Deportivo Saprissa,1389,"lw, ramf, lamf",25,4.86,2.2,0.19,0.13
G. Sibaja Pérez,Herediano,616,"rw, lw",17,4.82,2.34,0.29,0.88
R. Ramírez,Municipal Liberia,699,"lw, lcmf3, cf",22,4.76,2.83,0.26,0.39
E. Morales,Guadalupe,985,"lw, rw, lamf",26,4.66,3.02,0.09,0.64
S. Lucumí,Alajuelense,677,"lw, cf, lamf",31,4.65,2.39,0.27,0.13
C. Núñez,Cartaginés,1584,"cf, amf, lcmf",28,4.6,1.88,0.45,0.57
R. Leal,Guadalupe,1025,gk,24,4.48,1.49,0,0.7
K. Briceño,Cartaginés,1867,gk,34,4.48,1.4,0,0.58
A. Madriz,Deportivo Saprissa,1774,gk,22,4.41,1.17,0,0.61
B. Segura,Pérez Zeledón,1156,gk,29,4.13,1.63,0,0.78
A. Hudson,Municipal Liberia,991,"rw, rb5, cf",20,4.09,2.27,0.27,1.27
M. Villalobos Vega,Municipal Liberia,863,"lw, rcmf3, lcmf3",26,4.07,1.88,0.21,0.1
K. Porras,Pérez Zeledón,1063,lw,25,4.06,2.37,0.17,0.17
R. Araya,Herediano,689,"lw, lamf",26,4.05,1.96,0,0.26
A. Cruz,Herediano,1003,"lcmf, rcmf, cf",30,4.04,2.96,0.63,1.17
A. Amador,Guadalupe,893,"lw, rw, lamf",25,4.03,2.22,0,0.4
J. Campbell,Alajuelense,616,"cf, rcmf, amf",33,3.94,1.46,1.02,0.15
J. Hernández,Municipal Liberia,976,"cf, lw",32,3.87,3.23,0.28,1.2
K. Vargas,Alajuelense,702,"lw, lamf, ramf",24,3.85,1.03,0.38,0.26
J. Delgado,Guadalupe,711,gk,32,3.8,1.27,0,0.63
R. Taylor,Puntarenas,881,"lw, lamf, ramf",28,3.78,1.84,0,0.2
Á. Zaldívar,Alajuelense,885,"cf, amf, rw",32,3.76,1.83,0.31,0.51
D. Carvajal,Herediano,1642,gk,37,3.73,1.21,0,0.27
J. Méndez,Sporting San José,1551,"cf, lw",24,3.71,1.91,0.06,0.23
M. González,San Carlos,1547,gk,29,3.67,1.4,0,0.47
D. Colindres,Puntarenas,921,"lwf, cf, lw",41,3.62,0.98,0,0.2
Manuel Moran,Pérez Zeledón,1528,"rw, cf",28,3.59,3.06,0,0.94
L. Moreira,Sporting San José,1646,gk,36,3.55,0.93,0.05,0
J. Ruiz,Guadalupe,983,"cf, amf",32,3.48,1.1,0.37,0.37
A. Hernández,Alajuelense,905,"rw, ramf, lcmf",24,3.48,1.99,0,0.1
J. Mora,Cartaginés,833,"lw, lamf, ramf",22,3.46,2.7,0.11,1.08
O. Sinclair,Deportivo Saprissa,600,"cf, lcmf",28,3.3,2.1,0.15,0.3
W. Ortega,Alajuelense,1452,gk,31,3.29,0.56,0,0.06
R. Cole,Puntarenas,759,"rw, rwf, amf",27,3.2,2.37,0.59,0.47
J. Navarro,Sporting San José,817,"cf, lw",27,3.19,2.09,0.22,1.21
A. Pineda,Puntarenas,1709,gk,29,3.16,1.11,0,0.37
J. Gaete,Cartaginés,737,"lw, rw, lamf",29,3.05,1.71,0.12,0.24
M. Pereira,Pérez Zeledón,1217,cf,21,2.81,2.14,0.44,0.3
J. Venegas,Cartaginés,692,"cf, amf",37,2.73,1.43,0,1.04
Tomás Rodriguez,Deportivo Saprissa,1327,cf,27,2.71,1.49,0.14,0.34
A. Rodríguez,Deportivo Saprissa,538,cf,36,2.68,1.67,0.5,0.84
Junior Maleck,Guadalupe,823,cf,27,2.3,1.09,0.11,0.33
R. Márquez,Cartaginés,954,cf,28,2.26,1.42,0.38,0.47
B. Martínez,San Carlos,907,cf,29,2.18,1.89,0.1,1.09
M. George,Sporting San José,978,cf,32,2.02,1.47,0,0.64
M. Ureña,Sporting San José,676,"cf, amf",36,1.86,1.46,0,0.4
D. Rodríguez,Puntarenas,971,"cf, rw, ramf",23,1.85,1.39,0.28,0.74
F. Lesme,Municipal Liberia,549,cf,24,1.8,1.48,0,0.49
M. Hernández,Herediano,1278,cf,36,1.69,2.54,0,1.55
R. Cisneros,Alajuelense,1412,cf,29,1.66,1.27,0.19,0.51
R. Carballo,Puntarenas,1212,cf,30,1.49,0.74,0.07,0.22
J. Aguilar,San Carlos,1171,"cf, rw, amf",31,1.46,1.15,0.08,0.92
E. Torres,Municipal Liberia,1121,cf,33,1.45,1.36,0,0.64
